Datetime,Timestamp,Sensor,Acao,Distancia_Pixels
2026-04-16 13:21:19.736,1776342079.7367375,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:19.813,1776342079.8137991,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:19.892,1776342079.8923872,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:19.948,1776342079.9481664,Teclado,Key_Space_Press,0
2026-04-16 13:21:20.032,1776342080.0328603,Teclado,Key_Space_Release,0
2026-04-16 13:21:20.256,1776342080.2561164,Teclado,Key_WASD_Press,0
2026-04-16 13:21:20.346,1776342080.3461344,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:20.382,1776342080.3829226,Teclado,Key_WASD_Release,0
2026-04-16 13:21:20.452,1776342080.4520745,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:20.624,1776342080.6243782,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:20.704,1776342080.7042513,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:20.823,1776342080.8237498,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:20.886,1776342080.8866858,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:20.945,1776342080.9453666,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:21.024,1776342081.0245676,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:21.092,1776342081.0923765,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:21.166,1776342081.1660683,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:21.206,1776342081.2066545,Teclado,Key_WASD_Press,0
2026-04-16 13:21:21.324,1776342081.324099,Teclado,Key_WASD_Release,0
2026-04-16 13:21:22.263,1776342082.2639377,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:22.311,1776342082.311791,Teclado,Key_Space_Press,0
2026-04-16 13:21:22.332,1776342082.332717,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:22.439,1776342082.4396439,Teclado,Key_Space_Release,0
2026-04-16 13:21:22.661,1776342082.6614375,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:22.757,1776342082.7572773,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:22.790,1776342082.7904317,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:22.864,1776342082.8645155,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:22.880,1776342082.8805697,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:22.971,1776342082.9712107,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:23.020,1776342083.0205266,Teclado,Key_Space_Press,0
2026-04-16 13:21:23.159,1776342083.1591551,Teclado,Key_Space_Release,0
2026-04-16 13:21:23.976,1776342083.9763072,Teclado,Key_Delete_Press,0
